range_-100_-95,range_-105_-100,range_-10_-5,range_-110_-105,range_-115_-110,range_-120_-115,range_-125_-120,range_-130_-125,range_-135_-130,range_-140_-135,range_-145_-140,range_-150_-145,range_-155_-150,range_-15_-10,range_-160_-155,range_-165_-160,range_-170_-165,range_-175_-170,range_-180_-175,range_-185_-180,range_-190_-185,range_-195_-190,range_-200_-195,range_-20_-15,range_-25_-20,range_-30_-25,range_-35_-30,range_-40_-35,range_-45_-40,range_-50_-45,range_-55_-50,range_-5_0,range_-60_-55,range_-65_-60,range_-70_-65,range_-75_-70,range_-80_-75,range_-85_-80,range_-90_-85,range_-95_-90,range_0_5,range_100_105,range_105_110,range_10_15,range_110_115,range_115_120,range_120_125,range_125_130,range_130_135,range_135_140,range_140_145,range_145_150,range_150_155,range_155_160,range_15_20,range_160_165,range_165_170,range_170_175,range_175_180,range_180_185,range_185_190,range_190_195,range_20_25,range_25_30,range_30_35,range_35_40,range_40_45,range_45_50,range_50_55,range_55_60,range_5_10,range_60_65,range_65_70,range_70_75,range_75_80,range_80_85,range_85_90,range_90_95,range_95_100
0,1,2338,2,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,0,0,0,0,378,181,85,62,32,25,11,7,12468,7,10,7,6,7,1,1,1,63047,0,0,10007,0,0,0,0,0,0,0,0,0,0,2051,0,0,0,0,0,0,0,751,359,176,91,58,32,19,16,56847,8,7,9,5,7,4,1,1
2,5,2367,6,0,4,1,3,1,1,2,2,0,887,1,0,0,1,0,0,0,0,0,496,221,125,69,46,42,22,18,12331,17,13,17,10,9,8,6,4,60532,7,9,10838,10,0,0,4,3,3,1,2,2,1,2265,0,0,0,0,0,0,0,907,411,243,148,103,47,41,27,57579,18,11,13,9,7,9,5,4
21,21,2757,21,19,17,19,18,10,9,11,7,11,1083,7,6,8,3,4,4,2,3,4,586,419,225,151,124,91,83,49,13756,64,49,50,49,33,30,36,24,60594,36,24,10419,18,17,23,15,23,13,15,12,8,9,2392,12,15,6,10,9,9,3,1024,571,304,203,153,88,97,73,53496,65,59,54,35,50,32,28,19
9,5,2178,6,6,4,3,2,4,2,2,3,2,986,0,1,0,1,1,0,0,0,0,545,294,235,155,116,98,62,51,12305,39,25,27,23,20,17,12,10,60397,14,10,10867,4,11,2,7,4,3,1,4,2,1,2023,2,1,0,0,1,1,0,863,462,290,214,146,108,73,65,56922,60,54,42,31,34,13,9,8
0,0,2452,0,0,0,0,0,0,0,0,0,0,903,0,0,0,0,0,0,0,0,0,428,275,167,105,65,48,41,22,14066,13,9,9,2,2,3,1,0,62904,2,0,10061,0,0,0,0,0,0,0,0,0,0,1960,0,0,0,0,0,0,0,781,384,245,142,101,64,33,28,54607,17,18,17,12,4,4,3,2
0,0,1926,0,0,0,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,257,136,78,59,35,22,17,10,12309,5,7,0,2,0,0,0,0,64883,0,0,9604,0,0,0,0,0,0,0,0,0,0,1714,0,0,0,0,0,0,0,541,247,140,78,44,31,25,13,57154,17,13,7,1,2,0,0,0
7,4,2491,11,5,2,10,6,4,2,2,1,2,908,5,2,3,1,2,0,0,1,1,527,331,218,142,90,83,62,35,13583,38,28,26,15,15,19,13,16,61209,17,7,10465,7,3,5,4,3,4,2,5,3,2,2170,2,0,1,2,3,1,0,903,483,315,209,119,95,69,51,54901,46,47,25,29,19,17,14,15
3,2,2284,5,3,1,4,4,2,3,0,0,4,1016,0,0,1,0,0,0,0,0,0,549,336,232,154,113,83,51,35,12375,35,26,12,11,17,8,6,4,61793,10,10,10360,3,3,6,2,1,1,1,1,0,1,2073,1,0,0,0,0,0,0,867,524,340,220,119,116,93,44,55872,38,21,22,24,17,14,17,7
3,2,2165,0,1,1,0,0,0,0,0,0,0,822,0,0,0,0,0,0,0,0,0,433,290,175,125,79,44,41,22,12805,26,22,19,9,5,7,5,0,63514,3,3,9695,3,1,0,1,0,1,0,0,0,0,1773,0,0,0,0,0,0,0,688,367,246,152,103,89,53,49,56047,32,26,16,10,13,3,7,4
10,3,1914,5,1,3,3,4,3,1,1,1,3,711,0,1,0,2,1,0,1,0,0,386,208,120,84,61,45,38,18,11723,24,16,17,9,13,8,8,3,62146,7,7,10383,4,1,5,1,2,0,0,2,1,1,1882,0,0,1,0,1,0,0,649,305,190,126,111,72,43,45,58411,30,25,32,21,9,19,7,7
11,0,2190,5,1,0,0,0,0,0,0,0,1,833,0,1,0,0,0,0,0,1,0,401,253,179,120,76,67,49,35,12033,27,25,15,23,12,4,7,9,60366,4,4,11013,2,2,2,1,0,0,0,0,0,1,2138,0,1,0,0,0,1,0,776,453,254,182,124,89,56,54,57953,31,31,20,15,15,8,10,10
15,9,2866,2,5,7,4,3,2,1,2,3,0,1224,0,6,1,1,1,0,0,0,0,641,365,272,204,149,92,67,57,13644,44,24,31,26,20,12,17,12,59509,9,6,11083,3,9,4,6,5,5,0,1,0,2,2508,0,2,1,1,0,0,2,1128,592,374,254,192,131,94,69,53940,60,36,37,32,12,24,17,23
11,15,2711,10,8,9,7,14,6,2,3,6,6,1039,5,2,6,9,5,5,4,4,7,533,271,178,141,118,63,59,46,12612,36,27,27,18,20,15,16,15,58303,16,13,11825,10,8,14,10,6,5,8,9,12,6,2515,8,14,4,3,5,3,7,1014,539,297,220,160,105,61,50,56368,45,38,33,32,16,8,14,5
7,7,3192,3,1,6,4,2,0,0,4,1,1,1179,1,0,0,2,0,0,0,0,0,614,359,221,173,103,86,70,44,13836,30,18,18,8,8,9,7,6,57002,12,4,12550,5,4,2,6,1,0,2,2,0,1,2933,0,1,2,0,1,2,0,1140,580,353,211,156,102,92,51,54590,40,36,35,15,15,12,12,10
3,4,2484,1,3,1,1,3,1,3,3,2,2,879,0,2,0,0,0,2,0,1,1,444,245,166,130,75,49,41,41,12424,26,31,19,15,17,9,9,4,60085,8,4,11350,1,4,2,4,0,1,2,2,2,2,2241,1,5,1,5,1,3,0,889,441,245,172,103,72,58,45,56966,40,35,18,10,9,6,12,10
6,6,2531,5,4,4,4,2,1,0,0,0,0,977,0,0,0,0,0,0,0,0,0,559,317,198,136,107,58,63,43,12321,19,21,9,13,9,7,7,8,56620,8,4,12772,1,0,1,1,1,0,0,1,2,1,2671,0,0,2,1,1,0,0,1063,515,313,192,124,101,87,60,57851,49,30,33,24,10,10,7,9
2,3,2337,2,3,0,0,2,4,1,1,1,1,986,0,0,0,0,0,0,0,0,0,543,332,208,134,90,67,44,35,12120,25,28,18,12,13,14,5,7,58930,2,3,11463,4,2,0,3,1,0,1,1,1,1,2386,0,0,0,1,1,0,0,981,503,310,214,163,79,76,58,57619,35,40,29,15,15,9,9,7
1,1,2292,0,0,1,2,0,0,0,0,0,0,943,0,0,0,0,0,0,0,0,0,523,275,195,154,99,80,54,32,12606,24,19,15,9,1,0,0,0,60259,2,2,11219,2,0,2,2,0,0,0,0,0,0,2240,0,0,0,0,0,0,0,941,470,325,193,138,95,64,40,56581,26,22,19,10,8,7,3,4
3,0,2037,0,0,0,0,0,0,0,0,0,0,725,0,0,0,0,0,0,0,0,0,353,174,117,75,46,26,25,18,11570,8,11,7,6,2,2,1,1,60597,3,1,11138,2,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,0,0,0,780,331,171,128,61,38,36,17,59419,15,10,13,7,2,2,2,2
2,0,2565,0,0,0,0,0,0,0,0,0,0,1043,0,0,0,0,0,0,0,0,0,534,278,174,107,62,62,40,29,12551,16,10,10,3,4,1,4,0,57076,1,0,12809,0,0,0,0,0,0,0,0,0,0,2520,0,0,0,0,0,0,0,989,509,273,189,120,83,52,36,57762,27,21,17,9,5,4,2,1
1,1,2038,0,0,0,0,0,0,0,0,0,0,783,0,0,0,0,0,0,0,0,0,378,222,151,65,60,38,26,12,12656,12,11,11,3,4,1,1,1,63461,2,2,10273,0,1,1,0,0,0,0,0,0,0,1797,0,0,0,0,0,0,0,735,371,199,124,70,44,41,29,56314,22,10,11,8,4,2,3,1
3,5,2933,3,2,5,3,2,2,2,3,0,1,1264,2,0,0,0,0,1,1,0,0,654,359,254,180,129,87,65,64,13070,32,25,13,9,14,14,5,10,58972,5,5,11126,4,2,1,5,4,3,2,2,5,5,2541,2,2,4,1,0,0,1,1194,724,395,231,179,104,84,55,54967,36,32,23,20,13,6,16,12
2,2,2089,3,1,2,2,3,0,0,0,1,0,820,0,1,1,1,0,0,0,0,0,433,226,140,89,57,48,29,31,12721,19,16,10,7,12,3,3,3,62098,4,0,10227,3,2,2,3,4,1,1,2,0,1,1837,1,1,0,0,1,1,0,737,400,242,122,104,43,46,38,57210,24,18,18,9,6,1,12,6
2,2,2144,2,4,2,0,3,0,0,0,3,2,802,0,0,1,2,0,0,0,0,0,423,241,153,115,67,50,46,31,12466,33,22,11,9,7,4,5,2,62257,4,5,10192,7,1,1,1,1,1,0,1,0,1,1935,1,1,0,0,0,0,0,804,405,227,129,115,76,71,45,56954,27,20,15,10,13,13,6,7
4,0,2049,4,0,0,0,0,0,0,0,0,0,834,0,0,0,0,0,0,0,0,0,449,250,144,100,74,55,47,31,12328,20,20,13,9,9,7,2,1,62524,5,3,9947,3,2,0,1,0,0,1,1,1,0,1844,0,0,0,0,0,0,0,770,393,226,176,117,55,58,40,57286,26,20,12,12,4,12,6,5
3,5,2571,4,2,2,1,1,1,2,1,2,0,1099,0,2,2,2,1,0,1,0,0,546,314,216,169,95,76,72,45,12735,37,36,20,17,9,14,12,6,59474,3,6,11357,5,6,4,5,4,1,2,1,2,3,2451,1,0,4,1,0,0,1,997,590,363,217,133,101,72,43,55832,57,33,35,23,17,8,15,8
4,6,2319,5,3,3,2,1,1,3,0,2,1,943,0,0,2,0,0,0,0,0,0,536,280,199,114,92,60,49,31,11113,23,20,16,8,15,10,8,4,55399,6,3,13243,5,6,5,6,1,5,3,3,3,3,2562,0,1,1,1,1,0,0,1043,544,305,198,139,70,56,45,60334,40,30,24,17,9,6,6,4
5,2,2118,3,0,3,3,1,1,0,0,0,0,867,0,0,0,0,0,0,0,0,0,454,266,190,114,96,69,60,43,10630,23,24,18,15,9,14,3,10,55770,7,3,12986,1,0,2,0,2,0,0,0,0,0,2375,0,0,0,0,0,0,0,979,465,296,190,115,83,74,53,61393,33,34,22,17,16,17,11,15
1,3,2135,6,3,8,2,6,3,6,4,4,1,791,1,3,4,4,5,1,1,2,1,456,304,199,154,125,90,58,54,11106,34,37,30,15,20,13,5,8,57028,11,12,12348,9,5,3,6,8,5,7,9,4,2,2355,4,1,5,2,2,3,1,872,448,310,197,133,112,71,61,60039,43,31,23,24,29,13,17,12
5,2,2357,2,3,0,1,0,0,0,0,0,0,865,0,0,0,0,0,0,0,0,0,447,256,172,127,86,73,54,44,11601,38,34,22,14,18,15,4,5,56477,8,8,12849,5,3,1,1,1,2,1,0,2,0,2679,0,0,0,0,0,0,0,1020,502,264,166,134,68,72,56,59264,35,32,37,23,17,13,10,5
3,4,2581,1,0,0,0,0,0,0,0,0,0,1071,0,0,0,0,0,0,0,0,0,590,320,214,142,92,59,59,45,12313,30,11,15,13,10,11,6,6,57235,2,5,12539,7,5,3,4,2,3,0,1,0,0,2674,0,0,0,0,0,0,0,1031,560,324,215,128,88,76,49,57320,29,36,24,14,15,9,3,3
10,7,2373,8,3,1,3,3,3,2,2,3,2,973,0,3,0,1,0,2,2,0,2,490,280,218,175,131,76,47,46,11415,46,38,18,18,26,20,16,11,55944,11,13,12763,10,7,11,4,4,7,7,5,3,4,2537,1,4,1,1,1,1,0,1032,600,345,212,153,114,82,56,59408,45,30,19,27,25,12,10,10
16,19,2819,12,12,8,5,8,8,3,3,1,3,1149,2,5,3,4,1,0,0,0,0,582,436,283,197,143,137,86,69,12468,78,55,44,26,31,23,31,21,53840,19,24,13637,24,14,17,11,10,8,4,0,2,1,3130,1,2,0,0,2,0,1,1179,663,446,297,229,136,128,80,56955,73,55,38,40,35,35,30,33
8,6,3005,9,10,8,1,3,2,1,4,4,2,1311,2,0,3,0,1,0,0,0,2,742,469,307,209,140,102,98,39,12915,28,30,24,16,18,15,15,9,56628,7,8,12187,8,7,6,4,4,3,3,3,5,5,2965,2,2,2,2,2,0,0,1273,734,408,289,209,148,91,81,55151,50,40,39,24,22,9,7,10
2,3,2228,1,1,1,1,0,1,1,0,0,0,876,0,0,0,0,0,0,0,0,0,461,288,164,99,81,56,34,31,10826,20,14,12,6,8,10,9,3,57928,5,0,11971,1,0,0,0,1,1,0,0,2,0,2432,0,0,0,0,0,0,0,933,448,251,171,111,70,46,42,60204,39,19,23,24,18,8,12,3
2,4,2106,3,2,4,2,2,1,1,1,1,0,770,3,0,1,0,1,0,0,2,0,377,251,150,111,68,58,41,41,11708,39,23,27,28,7,10,5,3,58873,5,7,12041,10,4,6,1,3,3,4,2,0,1,2161,0,0,0,1,0,1,1,840,432,255,174,113,93,40,46,58900,30,24,22,16,13,7,11,7
17,13,2876,13,12,12,4,8,10,6,6,6,6,1156,4,3,2,5,3,4,1,4,2,580,337,218,133,98,72,68,53,13051,59,49,29,32,23,15,30,8,54545,21,19,13832,12,12,9,9,10,6,4,4,8,7,3045,7,3,3,3,5,0,4,1132,576,343,210,132,116,100,79,56392,63,49,38,43,34,25,22,24
50,38,3835,32,28,49,37,33,32,22,17,28,17,1735,11,16,12,17,15,6,15,10,16,1026,720,493,344,294,242,178,174,14112,127,99,64,76,72,57,50,47,49537,52,51,14995,31,44,40,34,33,26,24,24,30,21,3962,23,21,16,15,16,16,10,1787,1038,759,489,334,273,216,159,50335,162,128,85,71,76,74,60,60
9,4,3537,13,6,8,7,9,9,3,7,4,1,1560,5,5,2,4,2,2,0,1,1,809,555,327,224,159,122,108,81,14924,45,52,32,32,23,21,16,19,54636,18,20,13694,10,12,7,4,3,4,8,14,8,7,3539,5,9,1,6,7,3,4,1491,826,486,343,238,164,103,86,51169,71,45,43,32,26,32,24,21
9,8,2607,1,4,4,4,2,0,3,2,2,0,995,1,0,0,0,0,0,0,0,0,518,335,210,140,93,64,59,50,13150,32,44,30,21,26,14,14,7,57902,4,9,12392,5,7,5,10,4,4,3,1,2,1,2525,0,0,0,0,0,0,0,982,533,295,199,136,100,80,55,56079,39,30,31,40,19,30,14,15
1,0,3095,0,0,0,0,0,0,0,0,0,0,1315,0,0,0,0,0,0,0,0,0,787,445,294,208,156,123,64,56,13275,43,32,24,22,9,13,8,11,58003,6,2,11353,1,1,1,0,0,0,0,0,0,0,2779,0,0,0,0,0,0,0,1349,795,482,293,189,139,117,71,54251,43,34,36,26,15,12,13,8
26,34,3297,25,14,20,17,8,16,12,8,10,8,1428,7,8,6,5,1,2,2,4,4,712,410,336,231,188,185,111,90,13944,96,62,36,55,43,37,36,25,55675,17,26,12283,14,13,11,10,9,11,13,11,7,12,3063,15,10,6,6,5,9,12,1318,777,451,299,250,191,130,126,53008,97,83,73,56,56,59,39,30
1,1,2228,1,2,0,0,0,0,0,0,0,0,962,0,0,0,0,0,0,0,0,0,510,344,203,162,110,60,52,35,11705,27,20,10,7,12,8,2,4,60694,2,3,10603,2,3,2,2,3,2,1,0,0,0,2149,0,0,0,0,0,0,0,927,492,296,201,132,107,68,52,57661,39,21,20,17,15,7,5,8
0,0,2681,0,0,0,0,0,0,0,0,0,0,1096,0,0,0,0,0,0,0,0,0,510,281,180,89,64,39,30,11,12968,7,6,4,1,1,0,0,0,59505,0,0,11462,0,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,1011,529,310,161,89,53,42,18,56357,12,16,7,3,1,1,3,2
6,6,2224,3,3,1,2,3,2,1,1,0,2,954,0,1,0,1,2,0,0,0,0,514,293,205,176,106,85,63,46,11845,35,33,31,18,19,12,12,7,61442,5,9,10146,4,3,3,4,6,2,0,0,1,3,2086,0,1,1,1,0,0,0,898,472,342,244,172,118,85,52,57003,49,36,24,30,22,6,10,8
2,1,1379,1,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,162,83,47,16,12,12,13,13,10146,3,4,6,1,1,2,4,3,64605,0,0,9400,0,0,0,0,0,0,0,0,0,0,1237,0,0,0,0,0,0,0,362,167,84,33,45,19,23,13,61665,17,5,5,3,3,2,0,0
4,1,2471,1,1,1,1,0,0,0,0,0,0,956,0,0,0,0,0,0,0,0,0,487,311,204,123,69,61,39,30,12978,24,12,7,2,6,4,4,2,60584,1,0,10758,3,0,0,0,0,0,0,0,0,0,2268,0,0,0,0,0,0,0,874,448,278,167,112,70,72,42,56393,40,31,23,12,13,5,6,1
11,7,2528,12,7,14,7,5,2,0,2,0,2,1052,1,0,0,0,0,0,0,0,0,543,338,254,180,143,109,62,61,13562,53,40,29,23,23,16,15,7,62614,9,11,9702,9,7,3,9,0,3,1,0,1,0,2180,4,1,1,0,0,0,2,879,515,346,231,174,133,122,81,53599,64,46,45,35,23,16,8,15
9,5,2854,6,6,8,4,4,6,3,2,6,1,1108,3,2,2,1,4,3,2,2,4,563,383,194,123,77,58,35,43,13297,27,16,12,8,17,8,14,5,61110,9,14,10684,12,7,3,5,5,4,4,6,5,3,2420,1,1,2,1,3,3,2,1079,515,296,153,112,82,65,54,54203,24,25,30,17,8,14,8,8
4,3,1886,4,2,3,7,5,1,1,3,0,2,637,1,1,1,0,1,0,1,1,0,306,160,103,75,50,26,27,22,12707,14,12,11,14,10,6,5,6,65015,6,10,9438,7,4,1,2,1,1,3,2,1,1,1629,1,1,1,0,1,1,0,572,257,151,115,88,49,37,15,56391,8,16,11,12,11,6,8,7
3,8,3167,5,2,8,1,2,0,1,2,1,4,1277,1,1,0,1,0,0,0,1,0,635,356,259,153,116,74,62,56,14541,45,33,19,24,17,17,10,9,59946,11,15,11007,7,4,1,4,3,3,6,1,0,0,2685,0,1,1,0,0,0,0,1066,590,364,209,141,100,79,61,52545,57,50,27,32,30,18,8,13
16,18,3246,16,15,13,12,7,15,4,10,3,5,1354,1,4,4,6,6,1,2,3,3,684,429,281,180,159,102,83,67,12984,32,29,26,33,24,17,19,16,54963,30,13,12990,20,13,12,9,7,7,5,5,9,5,3297,5,2,7,7,3,5,2,1443,727,467,269,191,126,106,67,54979,52,31,26,26,24,30,20,23
3,4,1792,0,2,0,1,1,0,2,1,0,0,531,0,0,0,0,0,0,0,0,0,240,136,73,41,37,21,16,18,12326,12,9,10,2,8,5,3,5,63009,1,2,10352,2,1,2,1,1,1,0,0,0,0,1591,0,0,0,0,0,0,0,492,236,130,86,49,36,28,32,58582,20,11,6,10,7,4,5,4
3,0,2244,1,2,1,1,1,0,0,0,0,0,947,0,0,0,0,0,0,0,0,0,474,314,205,160,95,54,45,32,12085,22,19,17,12,11,8,3,2,60939,2,5,10463,2,3,0,2,0,0,0,0,0,0,2044,0,0,0,0,0,0,0,876,494,308,169,123,100,70,46,57472,36,28,23,11,8,6,4,8
5,1,3068,1,2,0,1,0,0,0,0,0,0,1304,0,0,0,0,0,0,0,0,0,672,407,282,183,144,69,44,41,12921,34,28,12,7,7,5,8,4,56309,6,6,12731,5,5,4,4,0,1,1,0,0,0,3117,0,0,0,0,0,0,0,1254,726,358,282,184,130,70,48,55367,34,28,31,16,10,12,7,4
18,15,1927,9,13,9,10,8,10,8,4,5,5,714,2,3,4,3,5,4,3,3,3,339,197,136,113,100,85,75,72,10387,50,50,29,12,28,20,22,14,57699,9,11,12063,9,13,9,13,8,12,6,9,8,7,2155,4,8,9,2,8,5,1,802,402,228,174,133,77,77,47,61147,43,58,33,33,28,29,24,15
17,20,2889,17,10,13,16,20,30,12,16,11,11,1204,10,11,11,6,9,7,8,3,3,672,429,270,190,120,102,92,76,12681,53,47,50,40,45,23,24,34,56311,29,28,12268,20,18,22,16,19,15,18,10,12,12,2831,8,10,9,9,6,9,4,1159,606,365,264,150,119,78,87,55637,63,54,52,42,38,47,27,20
2,6,2545,3,4,1,2,1,1,1,0,1,0,996,0,0,0,0,0,0,0,0,0,509,309,204,146,125,85,65,32,12765,20,20,10,16,5,7,5,6,59844,3,2,11355,4,7,5,1,3,1,3,0,4,3,2352,0,0,1,1,0,0,0,967,498,297,169,143,78,77,56,56090,39,32,21,16,13,10,6,7
12,7,2796,7,4,4,5,0,2,3,0,0,1,1184,0,0,0,0,0,0,0,0,0,632,435,304,156,119,87,48,58,12909,53,41,31,29,29,8,19,15,57192,8,9,12071,2,1,6,1,3,2,4,2,1,2,2801,0,4,2,0,1,1,0,1144,627,394,232,177,147,114,72,55728,66,35,39,30,25,30,15,14
15,12,2949,14,11,6,9,4,2,6,4,4,3,1153,4,4,1,1,2,1,3,3,0,594,397,257,161,126,104,96,89,13997,67,59,47,45,33,28,22,20,56558,22,21,12599,14,8,5,6,6,8,6,2,6,5,2977,4,4,2,1,0,4,2,1207,615,358,255,184,162,108,89,54024,80,67,53,56,40,30,22,22
5,2,2542,1,0,0,1,1,1,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,613,370,212,163,107,80,63,33,11961,35,33,22,26,14,3,8,9,58132,7,4,11563,2,2,2,1,0,0,1,0,1,1,2589,0,0,0,0,0,0,0,1031,584,375,222,155,114,95,57,57381,47,40,32,16,22,12,8,4
14,18,3199,17,11,11,6,6,13,4,2,4,6,1275,2,3,2,8,2,1,4,0,4,625,394,275,208,159,112,90,79,13752,62,40,25,32,26,38,21,17,55579,19,10,13108,6,10,12,7,10,10,8,7,6,6,3092,6,2,3,4,5,2,4,1279,650,386,271,209,115,92,104,54008,64,65,59,44,36,32,23,27
12,6,2588,4,5,1,1,0,1,0,2,0,2,1109,0,0,0,2,0,0,0,0,0,543,310,230,159,125,82,53,54,11973,40,34,30,19,14,9,8,9,56116,9,5,13130,6,4,1,0,1,2,1,0,2,0,2729,0,0,0,0,0,0,0,1090,604,314,224,149,125,87,74,57656,71,47,42,27,14,15,19,11
3,2,2330,1,1,1,0,1,1,0,0,0,0,777,0,0,0,0,0,0,0,0,0,358,205,116,74,54,51,38,34,11640,26,23,21,19,13,7,6,3,58418,6,4,12414,2,5,2,2,0,3,0,0,0,0,2416,0,0,0,0,0,0,0,833,355,212,125,92,81,51,34,59025,22,26,14,13,11,14,11,4
11,6,2229,4,13,3,2,6,7,9,4,7,8,859,4,5,8,3,2,2,6,4,1,469,278,175,98,93,60,52,39,11499,38,26,23,14,15,15,16,6,59645,10,6,11141,16,10,5,5,9,9,3,5,5,7,2180,1,6,2,2,1,4,3,870,449,240,186,149,91,66,52,58462,33,35,25,24,9,19,13,8
0,0,2281,0,0,0,0,0,0,0,0,0,0,739,0,0,0,0,0,0,0,0,0,325,188,101,61,55,21,10,11,12766,3,4,2,5,5,2,0,0,61742,0,0,10720,0,0,0,0,0,0,0,0,0,0,1940,0,0,0,0,0,0,0,676,368,222,116,69,43,12,10,57478,6,1,6,4,2,4,2,0
6,5,2492,2,1,3,2,3,1,1,1,0,0,1036,0,0,0,0,0,0,0,0,0,555,385,226,153,116,91,64,51,11154,37,30,23,17,13,12,8,9,56466,12,7,12601,5,2,5,3,4,1,3,1,0,2,2501,0,1,0,0,0,0,0,1087,639,370,255,183,124,82,57,58923,40,22,30,17,20,21,13,6
8,7,1884,1,5,4,3,4,1,7,1,2,3,760,4,3,1,2,0,3,0,0,0,436,271,182,130,93,56,54,29,10592,24,23,12,12,12,21,13,9,58704,15,4,11593,7,1,5,5,1,1,4,0,5,1,2114,3,0,3,0,0,0,1,861,451,283,174,137,81,60,54,60585,35,27,22,34,13,13,14,13
8,8,2524,10,2,7,8,8,3,5,3,3,4,934,4,3,3,5,6,2,1,4,2,468,280,202,148,98,79,61,47,12011,45,29,25,24,25,20,18,11,54752,12,6,13971,12,5,5,10,9,9,5,6,8,5,2657,2,1,2,1,3,3,4,1051,476,324,181,165,104,87,57,58601,49,35,30,41,24,19,14,14
5,9,2065,2,5,2,3,1,1,2,0,3,3,859,0,2,0,1,0,0,0,0,0,424,302,221,172,120,76,74,45,11573,33,34,18,18,17,9,8,8,55652,13,6,13415,4,5,5,1,6,3,3,1,2,2,2384,0,0,2,1,0,1,0,919,452,260,183,153,91,78,65,59949,54,46,37,29,26,19,8,10
0,0,2906,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,628,384,237,131,93,63,44,40,11438,31,14,11,7,10,4,0,2,52677,1,5,14774,1,0,0,0,0,0,0,0,0,0,3274,0,0,0,0,0,0,0,1388,699,410,270,155,100,67,61,58776,31,16,19,9,8,9,5,2
14,19,2802,15,8,16,7,7,5,8,4,10,6,1247,5,4,4,2,7,1,3,4,3,644,370,256,188,143,123,89,57,12703,58,38,42,23,26,15,23,20,55795,22,13,12763,11,14,14,12,13,7,7,6,8,11,2834,5,4,4,8,3,11,8,1106,623,400,276,210,153,112,87,55969,68,56,46,33,26,31,13,17
4,3,2647,3,3,1,5,2,3,2,1,0,1,1064,2,1,0,0,0,0,0,0,0,519,315,209,143,108,77,58,45,13312,54,31,26,26,19,17,10,1,59244,9,8,11624,7,2,5,3,1,1,0,1,1,2,2413,0,1,0,0,0,0,0,971,479,291,217,141,109,102,62,55373,49,53,32,26,20,17,12,12
8,8,2647,9,9,6,6,5,3,3,3,4,2,1160,0,1,3,1,1,1,1,1,1,650,383,247,160,113,115,65,63,13208,43,37,38,31,21,23,22,20,58769,20,10,11409,10,13,6,10,11,6,7,5,5,1,2444,3,1,1,0,0,2,0,1061,595,338,272,194,147,109,62,55109,53,41,29,39,32,22,14,19
13,7,2794,10,6,9,4,5,4,3,5,4,5,1054,2,3,2,0,0,0,0,0,0,589,362,242,173,113,101,66,47,13695,30,32,36,24,18,13,10,7,58626,7,11,12009,10,6,9,4,6,4,6,1,1,2,2527,0,0,3,3,2,0,2,1063,580,365,230,151,102,90,51,54398,49,41,34,31,27,16,20,14
10,11,3238,4,6,4,3,4,7,4,3,2,1,1290,1,2,1,1,2,2,1,2,2,689,413,285,198,133,98,67,55,13966,59,39,26,28,24,18,13,12,55004,11,8,13300,7,12,4,9,2,3,3,3,0,5,3081,4,1,0,2,0,0,2,1236,706,415,266,161,143,102,73,54423,71,66,31,40,21,13,18,15
7,6,2262,5,3,1,2,1,0,1,1,0,0,871,1,1,0,0,0,0,0,0,0,403,245,148,113,78,59,42,20,11869,25,21,14,12,7,6,5,11,58184,6,4,12221,6,7,5,5,2,2,2,0,3,2,2347,0,0,0,0,0,0,0,836,453,258,165,100,68,53,36,58879,18,27,17,13,19,8,9,5
5,6,2363,4,4,4,4,4,5,3,2,1,1,1061,5,3,2,0,0,0,0,3,0,557,346,235,168,104,83,59,45,11567,44,21,14,20,6,10,6,8,58952,4,8,11368,7,7,6,9,10,0,1,4,1,1,2312,3,3,3,0,3,0,1,1030,573,334,258,163,90,74,59,57752,50,32,18,18,13,12,9,12
4,3,2111,1,1,0,0,0,0,0,1,0,1,848,0,0,0,1,1,0,1,0,0,402,253,184,121,80,53,46,51,12192,31,27,24,8,9,7,4,7,59400,3,4,11685,3,0,2,0,1,2,0,2,1,0,2110,0,1,1,0,1,0,2,811,446,284,169,117,76,42,49,58179,33,30,23,17,14,7,3,3
5,6,2201,4,2,3,1,0,2,0,0,1,1,810,0,0,1,0,0,0,0,0,0,380,207,143,91,78,44,38,28,11091,32,22,13,15,13,12,13,8,57225,6,3,12499,4,4,3,1,3,4,2,0,1,1,2357,0,0,2,1,1,0,0,796,385,246,147,90,83,54,36,60664,33,22,11,8,11,6,14,9
10,4,3283,6,4,4,4,5,4,2,3,3,5,1507,4,0,2,0,1,2,4,2,0,774,430,298,218,151,106,59,62,11941,42,32,25,24,22,19,15,19,49626,15,11,15916,12,8,3,4,5,8,4,6,3,3,3883,3,2,5,3,1,2,1,1622,866,463,314,220,144,102,78,57209,50,56,46,31,32,29,21,16
